day,run_id,n_students,n_teachers,class_size_cap,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
13,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7004519441586108,0.5372446103816657,0.6967822984387946,0.8484657735579222,0.6040564274103225,0.3117788944691279,0.6169420008892926,0.8965862478618829,47,0.18800000000000003
14,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7161417218211701,0.5625257222633389,0.7150588046256203,0.8562349814418808,0.6139777622523467,0.3217788944691279,0.6269420008892926,0.9065862478618829,42,0.168
15,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7313516977471094,0.581915906629102,0.7289259845610301,0.8635882388948775,0.6238714238758549,0.3317788944691279,0.6369420008892926,0.9165862478618829,38,0.152
16,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7455894256237756,0.6062532685052148,0.7484311827164727,0.8675842750982933,0.6336477965810191,0.3417788944691279,0.6469420008892927,0.9265862478618829,40,0.16
17,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7590082915668632,0.6239121668456284,0.7648063216915044,0.8743294899930092,0.6433935783045821,0.3517788944691279,0.6569420008892927,0.9365862478618829,39,0.156
18,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7720389238744236,0.642662333112674,0.7759246307261692,0.8790997905522265,0.6530602449712487,0.3617788944691279,0.6669420008892927,0.946586247861883,34,0.136
19,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7844690967126875,0.6594300052867931,0.7896396116048593,0.8865100185964032,0.6626337028464313,0.37177889446912793,0.6769420008892927,0.956586247861883,32,0.128
20,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.7959435381117527,0.6809735364328207,0.800988260696817,0.8916381181201255,0.6720139911227238,0.38177889446912794,0.6869420008892927,0.966586247861883,36,0.14400000000000002
21,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8067397243518071,0.6982350248940928,0.8118608591104286,0.8956219775849632,0.6813473244560572,0.39177889446912795,0.6969420008892927,0.976586247861883,38,0.152
22,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8167618934829214,0.7139284461175349,0.8205568135776571,0.899516675566208,0.690613600795784,0.40177889446912796,0.7069420008892927,0.986586247861883,40,0.16000000000000003
23,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8263329889824381,0.7292423413785007,0.8303713799763803,0.9039533944192543,0.6997820975340966,0.41177889446912797,0.7169420008892927,0.996586247861883,39,0.15600000000000003
24,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8349962854508396,0.745921154134476,0.8380741634095329,0.9081105842010181,0.7087410093788006,0.421778894469128,0.7269420008892927,1.0,45,0.18000000000000002
25,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8434929209021074,0.7580453029642071,0.8451135125331917,0.9132661064571386,0.7176576760454673,0.431778894469128,0.7369420008892927,1.0,37,0.148
26,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8514208223028787,0.7683940921051924,0.8535041881026186,0.9185466176880145,0.726574342712134,0.441778894469128,0.7469420008892927,1.0,39,0.156
27,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8586665064057523,0.7768144488045177,0.8602931542276573,0.9213554459285288,0.7354910093788007,0.451778894469128,0.7569420008892928,1.0,48,0.19200000000000006
28,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8658893830922261,0.7920224857963543,0.8676790271815561,0.924850666616252,0.7443297458248163,0.461778894469128,0.7669420008892928,1.0,39,0.156
29,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8720286720251832,0.8001071918197136,0.874536465705062,0.9278532834648285,0.753068554907372,0.471778894469128,0.7769420008892928,1.0,52,0.20800000000000002
30,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8784991349094659,0.8072928697087935,0.8799019938911561,0.931076846232265,0.7617069619514238,0.481778894469128,0.7869420008892928,1.0,38,0.152
31,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.8846250903034638,0.8171786214461935,0.8861438956271046,0.9350268199780047,0.7701801815431032,0.49177889446912804,0.7969420008892928,1.0,35,0.14000000000000004
