run_id,n_students,n_teachers,class_size_cap,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,n_days,K_mean_start,A_mean_start,K_mean_end,K_p10_end,K_p50_end,K_p90_end,A_mean_end,A_p10_end,A_p50_end,A_p90_end,K_mean_gain,A_mean_gain,incidents_avg_per_day,incidents_total,time_lost_avg,time_lost_max
1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4279539661067321,0.48405642741032234,0.971829629282441,0.9695924787469413,0.9721139096306892,0.9734924773700979,0.9907868188234519,0.982,0.994,1.0,0.5438756631757089,0.5067303914131296,40.855555555555554,3677,0.16342222222222225,0.22400000000000006
2,120,6,12,30.0,0.05,0.002,90,12002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4371272330586414,0.4563125578425165,0.974925140949556,0.9736020129192925,0.9750330814514628,0.9759763654584185,0.9914900890231467,0.98,0.994,1.0,0.5377979078909145,0.5351775311806302,40.43333333333333,3639,0.16173333333333334,0.21200000000000005
3,120,6,12,30.0,0.05,0.002,90,12003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.42753066500920395,0.4316675843426871,0.9771141009931149,0.9758196287312443,0.9773169930212255,0.978174298884361,0.9886001821164501,0.9688714192873088,0.994,1.0,0.5495834359839109,0.5569325977737629,39.94444444444444,3595,0.1597777777777778,0.2
4,120,6,12,30.0,0.05,0.002,90,12004,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.44379345760045535,0.47313426582166185,0.9751850467489402,0.9737035642407909,0.9753761323358583,0.9762762553633597,0.9936085030946444,0.982,0.994,1.0,0.5313915891484848,0.5204742372729826,39.82222222222222,3584,0.1592888888888889,0.204
5,120,6,12,30.0,0.05,0.002,90,12005,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4010435317739051,0.4516881170340147,0.9770183757749951,0.9759850658331591,0.9771844666459193,0.9778551256435781,0.9908205425482021,0.976,0.994,1.0,0.5759748440010899,0.5391324255141874,40.388888888888886,3635,0.16155555555555556,0.21600000000000003
6,120,6,12,30.0,0.05,0.002,90,12006,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.41709705524831703,0.45460230352703446,0.9748154529592692,0.9737335522392941,0.974925714094466,0.9760108886652943,0.9923646331453378,0.9778,1.0,1.0,0.5577183977109521,0.5377623296183034,39.855555555555554,3587,0.15942222222222224,0.212
7,120,6,12,30.0,0.05,0.002,90,12007,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4527144780735169,0.4508850795443262,0.9764825415848075,0.9750384499078854,0.9766708796389136,0.977604800492318,0.9894370203015199,0.9758,1.0,1.0,0.5237680635112907,0.5385519407571937,40.144444444444446,3613,0.1605777777777778,0.2
8,120,6,12,30.0,0.05,0.002,90,12008,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.43780222513363026,0.5011304606887848,0.9755254279965413,0.9741385329828014,0.975650139670292,0.9767158674592321,0.988902260206085,0.976,0.994,1.0,0.5377232028629111,0.4877717995173002,40.522222222222226,3647,0.1620888888888889,0.212
9,120,6,12,30.0,0.05,0.002,90,12009,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.44576472320316607,0.4944284232358573,0.9751930136855885,0.9739887514080212,0.9752713655598537,0.9760912766741795,0.9916006495077785,0.9778,0.994,1.0,0.5294282904824225,0.4971722262719212,39.766666666666666,3579,0.15902222222222223,0.20800000000000002
10,120,6,12,30.0,0.05,0.002,90,12010,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.43289392601386967,0.43122177494037933,0.9742193807268757,0.972069932631397,0.9745955139784825,0.9754190343267565,0.9936717474814694,0.982,1.0,1.0,0.5413254547130061,0.5624499725410901,41.833333333333336,3765,0.16733333333333333,0.21600000000000003
11,120,6,14,30.0,0.05,0.002,90,14001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.44164757970047774,0.4789741543384593,0.9709964847939487,0.9688479545807636,0.9713910014614908,0.9727085535123433,0.9895985626710162,0.9752,0.995,1.0,0.529348905093471,0.5106244083325568,41.455555555555556,3731,0.18455555555555556,0.23166666666666666
12,120,6,14,30.0,0.05,0.002,90,14002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.44088838208637277,0.4381970302176345,0.9730796759560495,0.9715252376755418,0.9733732110454998,0.9743701511096025,0.9933243498750544,0.988,1.0,1.0,0.5321912938696767,0.5551273196574198,42.455555555555556,3821,0.1890148148148148,0.24800000000000005
13,120,6,14,30.0,0.05,0.002,90,14003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4279443626240231,0.4865303589475154,0.9711450569419843,0.9693436450806143,0.9715092846846571,0.9725872023580601,0.9960599533351195,0.988,1.0,1.0,0.5432006943179613,0.5095295943876041,42.55555555555556,3830,0.18966296296296295,0.2676666666666667
14,120,6,14,30.0,0.05,0.002,90,14004,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4514876534369063,0.46270934414642917,0.9737484698445668,0.9723221352195781,0.9741069041369234,0.9748863085734993,0.9880512608672217,0.9738,0.994,1.0,0.5222608164076605,0.5253419167207926,41.044444444444444,3694,0.18270740740740743,0.24500000000000002
15,120,6,14,30.0,0.05,0.002,90,14005,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.46017262753634086,0.45665003965805745,0.9711503996893437,0.968997085153926,0.971617293759981,0.9727715679552434,0.9878793235003642,0.976,0.9990032476219778,1.0,0.5109777721530029,0.5312292838423067,42.43333333333333,3819,0.18888148148148148,0.24100000000000002
16,120,6,14,30.0,0.05,0.002,90,14006,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4134104798443598,0.4570673143131818,0.9751480679650163,0.9739069365887798,0.9754051198365006,0.9761256471334969,0.994250255524274,0.988,1.0,1.0,0.5617375881206566,0.5371829412110922,42.233333333333334,3801,0.18797777777777777,0.25833333333333336
17,120,6,14,30.0,0.05,0.002,90,14007,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.43961673272271395,0.424317410587626,0.9727304172567479,0.9709861711940356,0.9730774496172757,0.974202503418265,0.9897609153961582,0.9758,0.994,1.0,0.533113684534034,0.5654435048085322,41.86666666666667,3768,0.18631851851851852,0.24033333333333337
18,120,6,14,30.0,0.05,0.002,90,14008,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4195817604521913,0.46851585577356514,0.9748872869785637,0.973759906191647,0.9750698452264785,0.9758173147536027,0.9931433044616536,0.982,1.0,1.0,0.5553055265263724,0.5246274486880884,42.58888888888889,3833,0.1895037037037037,0.26200000000000007
19,120,6,14,30.0,0.05,0.002,90,14009,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.42324058646502866,0.4677765921338416,0.9725111109985695,0.971169583684669,0.9726615204417,0.9737203392518877,0.9912870412659677,0.978,0.994,1.0,0.5492705245335407,0.5235104491321261,40.22222222222222,3620,0.1790888888888889,0.24066666666666672
20,120,6,14,30.0,0.05,0.002,90,14010,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4085073982265507,0.4360798930050533,0.9735569008465733,0.9720636669552628,0.9738480949778601,0.9746883428001487,0.9944968781593063,0.988,1.0,1.0,0.5650495026200226,0.5584169851542531,40.62222222222222,3656,0.18073333333333336,0.24100000000000002
21,120,6,16,30.0,0.05,0.002,90,16001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.42297229606778675,0.4144769312141848,0.9632819535704163,0.9583705363735929,0.9642364816442898,0.9665653715398324,0.9939878187383149,0.9838754792808942,1.0,1.0,0.5403096575026296,0.5795108875241302,44.666666666666664,4020,0.2231111111111111,0.29
22,120,6,16,30.0,0.05,0.002,90,16002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4385766511004229,0.4566558592387899,0.9662807786221607,0.9630260313951066,0.9665626244481442,0.9687007856619716,0.9968421060364201,0.988,1.0,1.0,0.5277041275217378,0.5401862467976302,45.46666666666667,4092,0.22683333333333333,0.285
23,120,6,16,30.0,0.05,0.002,90,16003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4492023764084775,0.4341442760419582,0.9583966187575272,0.9524474728206095,0.9594062036817589,0.9625090078359905,0.9946924708752178,0.988,1.0,1.0,0.5091942423490498,0.5605481948332596,44.24444444444445,3982,0.221,0.26999999999999996
24,120,6,16,30.0,0.05,0.002,90,16004,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4431898105808287,0.44819224813121783,0.9681659730362064,0.965356305779039,0.968468450741401,0.9702831823177865,0.9937237586285548,0.976,1.0,1.0,0.5249761624553777,0.545531510497337,45.31111111111111,4078,0.22627777777777777,0.28
25,120,6,16,30.0,0.05,0.002,90,16005,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4174131866792182,0.455982295270256,0.9669678139853823,0.9642701614682222,0.9674115043650529,0.9691868182540717,0.9935879386440525,0.9878,1.0,1.0,0.5495546273061642,0.5376056433737965,44.62222222222222,4016,0.2228888888888889,0.295
26,120,6,16,30.0,0.05,0.002,90,16006,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.4333441722710836,0.4456926196427769,0.9612373168218276,0.9573584721808267,0.9621374206932576,0.964315975469412,0.9917250937119595,0.98,0.998,1.0,0.527893144550744,0.5460324740691826,44.32222222222222,3989,0.22138888888888889,0.305
27,120,6,16,30.0,0.05,0.002,90,16007,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.42850425328408187,0.4768789913867285,0.9690449184972263,0.9661346910939665,0.9695750525223981,0.9707775514469843,0.9963898190586608,0.988,1.0,1.0,0.5405406652131444,0.5195108276719322,43.28888888888889,3896,0.21633333333333332,0.26999999999999996
28,120,6,16,30.0,0.05,0.002,90,16008,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,90,0.42426337942987413,0.4608279411268701,0.9679193314401927,0.9651461298734151,0.9684220091853817,0.969859382872012,0.9933757335669288,0.9856,1.0,1.0,0.5436559520103186,0.5325477924400587,45.0,4050,0.22455555555555554,0.285
